tipo_logradouro;logradouro;bairro;numero;complemento;loteamento
AV.;BARAO DO RIO BRANCO;TRANCADOR;;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;907;CASA 01 - CASA FRANCISCO;
AV.;BARAO DO RIO BRANCO;TRANCADOR;945;CASA 02 -  HERDEIRA DE VILMA;
AV.;BARAO DO RIO BRANCO;TRANCADOR;945;-A - CASA 03 - MARCIO;
AV.;BARAO DO RIO BRANCO;TRANCADOR;937;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;925;FUNDOS;
AV.;BARAO DO RIO BRANCO;TRANCADOR;917;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;905;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;911;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;905;F;
AV.;BARAO DO RIO BRANCO;TRANCADOR;895;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;885;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;875;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;885;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;861;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;861;FUNDOS;
AV.;BARAO DO RIO BRANCO;TRANCADOR;855;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;855;A BECO;
AV.;BARAO DO RIO BRANCO;TRANCADOR;851;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;851; - B ;
AV.;BARAO DO RIO BRANCO;TRANCADOR;847;FUNDOS ;
AV.;BARAO DO RIO BRANCO;TRANCADOR;833;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;839;;
